Pie Bombs	Three jet black spheres, about the size of an apple, that smell distinctly of cooked pastry. 
Colloquial Black Speech for Orcs, Trolls and Men	This book appears to be a phrasebook for those looking to learn the basics of the Orcish language. It has an entire section of swear words, which is most amusing. The book seems to have an effect on anyone using the phrase book to speak in Black Speech. They become prone to shouting louder and louder the less they are understood. Nobody knows why this is; the book is not magical in the slightest.
Copper Bars	Four bars of copper.
Copper Necklace	A copper necklace set with a small amulet shaped into a symbol representing the sun.
Copper Tongue Scraper	A copper tongue scraper
Cow	A cow. It's a real hoofer.
Crystal Vase	A large crystal vase, silver trimmed, with a dozen dead roses and some stagnant water within.
Dart	{1d20} normal bone darts. They resemble fletched knitting needles, about 1 foot in length. Not used often by themselves, but rather as ammunition in a blowgun. Can be dipped in poison and used as an effective delivery device.
Dead Warrior	The skeletal remains of a long-dead warrior, wearing a suit of plate armor which still glistens as if it had been polished yesterday. The name of every warrior to ever don the armor has been inscribed upon the front and back of the chest plate, covering nearly every inch of its surface with precisely written, black runes. A careful inspection of the armor will reveal that there remains room for one last name.
Door Rubble	The remnants of a massive door of stone which has been smashed into rubble. A magic mouth which had once adorned the door remains intact. As the PCs draw near it will issue its warning: 'Disturb not this chamber, lest the world suffer.' Whatever the mouth was set to guard is gone ' the chamber beyond the broken door is empty.
Double Spear	"The double spear is a polearm comprising of a wooden haft with a short thrusting blade at either end. It can be used in one or two hands like a spear, but in the hands of a master both heads can be used effectively. If you use the Double Weapon Master feat to make an additional attack with a double spear, it deals 1d6 piercing damage.
Dragon Banner	A battle pennant, triangular in shape, of a black dragon on red silk. The staff is a silver-tipped lance. (Pennant: 30gp, Lance: 25gp)
Dragon Head Shield	A large copper shield, embossed with a copper dragon's head. 'Elvalynte' is inscribed on the interior in a flowing script. (34gp)
Drow Medallion	An electrum drow house-medallion bearing the image of a crimson scorpion with the house name inscribed on the back in the drow tongue (House Ulrather).
Dwarven Compass	A finely crafted compass of gold and silver, decorated and labelled with ornate, dwarven and draconic runes. Once every 1d4 hours it randomly changes the cardinal direction to which its arrow points.
Dwarven Holy Symbol	A dwarven holy symbol in silver; shaped into a flaming war-hammer set against an anvil-shaped backdrop. 
Echo Crystal	A prismatic crystal which echoes back ' in a deep, melodious voice ' every word which is said around it two seconds after it has been said.
Electrum Rose	A detailed rose, with petals and thorns, constructed of silver and electrum.
Electrum Sheet	A large (18'x28'), rectangular electrum sheet with ancient writing on it. The writing, if deciphered, is a brief history of a powerful magical item known as the House of Winds, with several clues as to where the item may have been lost fourteen hundred years ago. The House of Winds is described as an ornate mithril helm of legendary power.
Elephant Tusks	A collection of six elephant tusks.
Fairy Wing Cage	A small wooden case holding four pairs of fairy wings.
Field Tent	A large, ornate field tent such as a lord would have, room for 12 persons
Fire Agate Gem	"Fire Agate is the name given to chalcedony which contains thin lines of iridescent goethite. When properly cut, the iridescence displays red, brown, gold, and green hues, and the finest specimens are partly translucent.	"
Flask Bandolier	A bandolier holding 8 silver flasks (empty (x3), brandy (x2), acid (x1), ogre blood (x1), gold dust (x1, value of gold: 12gp). (Flasks: 3gp each, bandolier: 5gp, ogre blood (to alchemist): 12gp, acid: 10gp, brandy: 
Flask Belt	Utility belt of flasks
Fluted Short Spear	A ceremonial short spear; ash wood with an iron point. Seven red and three blue dyed vulture feathers are attached to the head of the spear. The iron is fluted to whistle through the air, if thrown.
Foul Ivory Statue	A life sized ivory carving of a chicken.
Frost Giant's Necklace	A frost giant necklace of silver upon which are pierced 17 human-sized hands. All of them appear to be the right hand of their former owner.
Frying Pan	A heavy cast iron frying pan. This can be used for frying, searing, browning and whacking people over the head! It has the remnants of this morning's breakfast smeared around it's rim. Damage is doubled when wielder has proficiency with cooking.
Fur Basket	A wicker basket with a pair of mink furs within.
Glass Window	A small colored-glass window pane depicting the crowning of the first king.
Glowing Crystal	A miniature crystal ' small enough to lie upon the outstretched finger of a halfling child ' glows softly, and pulses whenever an object colored red is brought near.
Golden Horn	An eight inch golden horn, likely more of a ceremonial object than of any real value as an instrument.
Golden Orb	A roughly beaten golden orb, roughly 10 inches in diameter. The orb is etched with the likeness of an orcish skull with an axe embedded in it. This was used by an orcish chieftain as his 'royal orb'.
Golden Signet Ring	A golden signet ring, origin unknown.
Grandfather's Broadsword	A grandfather's broadsword, plain but quality. An unknown script runs along the inner side of the scabbard.
Great Spear	This mighty spear is favoured by centaurs.
Dwarven Hand Axe	A simple hand axe and belt sheath. The axehead is inlaid with dwarvish runes which reference the high quality of items made by Tomu Aethmalk, the blacksmith who crafted the axe.
Hand Harp	Silver hand sized harp
Harpy Feather Fan	A hand-fan of clipped, black-dyed harpy feathers bound with copper wiring.
Hell Scented Potpourri	Potpourri with demon blood ' invigorating & entrancing
Hemp Rope	Seven lengths of extremely thick, 30' long, hemp rope, such as that used for catapults.
Hidden Blade Bracer	Concealed punching dagger-bracer
Hidden Daggers	A dozen quality daggers in a rolled up rug.
Holy Sword of Pentorus	A broken holy sword, inscribed with the name of a legendary Paladin.
Holy Symbol	The holy symbol of a god long thought dead and gone.
Holy Water	Three vials of holy water.
How to Win Friends and Influence People	This book peddles a philosophy of personal ascendancy and manipulation by charisma alone. The authors and advocates of such tomes claim that, by drawing on the most recent theories in sociology and interpersonal psychology, it is possible to raise an individual's charisma by a single point. They're wrong, that can only be done by magic, but what you read is your own.
Iol Gem	Iol is actually short for Iolite (cordierite), although a common nickname is "violet stone" even though its overall hue is usually blue. Iols are usually cut into faceted gems to best display the stone's color change as it is viewed from different directions. Small, cut iols can be clear, but larger specimens usually contain silky inclusions of another substance such as hemitite crystals, which give the same rich golden flash of color as in sunstones. 
Iron Flask	An iron flask holding a viscous liquid of intense, emerald-green that smells faintly of citrus fruit. The liquid is a concentrated, magical dye for clothing and the like, equal to four full barrels of normal dye. If consumed, it turns the drinker green for a full month.
Ivory Dress	A lovely ivory-colored dress of silk with flowing sleeves. The dress has tiny pearls sewn at the neckline.
Ivory Mice	A small sack containing 32 carved ivory mice
Jade Fountain	A decorative fountain, crafted elegantly from a single block of jade and decorated with gold leaf, in which the water flows in the wrong direction.
Jade Pendant	A small, white jade pendant without necklace. The pendant depicts a unicorn rampant with a cracked back leg.
Jallak's Shield	A small steel shield, triangular, emblazoned with a griffon device in red on a field of gray. This battered shield is inscribed on the interior with the words: 'May this shield be your protection in battle, Jallak. Honor the Galbrand name.'
Jasper Gem	"Jasper is an opaque quartz found in reds, browns, and blacks. Very rare specimens are blue or have bands of blue against the other colours. Jasper can be crushed and used in making potions and magical devices which protect against poison.	"
Jewel Wood	A 6' stack of 1' x 8' x 12' planks of rare, scented jewel wood
Kilan Wester's Royal Recipes	A large tome filled with over one hundred recipes for wild boar, goose, and venison; written by Kilan Wester, a former royal chef (retired).
Knife Vest	Knife vest ' holds {1d8} knives!
Large Bronze Bell	A large (36' diameter) bronze bell.
Leather Bag of Dragon Scales	A leather bag containing 6 green dragon scales (young adult).
Leviathan Organ	Pulsating organ of leviathan (is sack/cloth)
Libatius Borage's Advanced Potion Making	A large tome which details advanced techniques in the field of potion making. It's dust cover is a little tatty but the pages inside have kept well and it still has plenty of life left in it.
Lich Skull	Fossilized skull of lich-arcane power source
Malivar's Wardrobe	A large bronze wardrobe, banded in steel, which contains Violet Fungi (hp 15) and a human body with rotting noble's clothing, a rusty dagger, and a thin platinum bracelet set with a moonstone. 
Mallius Metallius, A Layman's Guide to Metallurgy	This tome has been bound in iron plates, giving the sense that it could take a real beating if needed. It's been well kept, however, and inscribed in the front is the title, "Mallius Metallius" with the subtitle, "A Layman's Guide to Metallurgy".
Mammoth Sword	A sword of truly mammoth proportions. Resting within a chamber more than thirty meters long, the sword stretches from one end to the other. Whatever creature was meant to wield this mighty weapon would truly stagger the imagination of a dragon.
Manticora Branding Iron	A mithril-headed branding-iron bearing the sigil of the Manticora Trading House.
Manual of Bodily Health	A typical manual of bodily health provides the reader with valuable information regarding preventative medicine, basic first aid, and proper muscle toning.
Manual of Gainful Exercise	A typical Manual of Gainful Exercise provides the reader with a strictly regimented routine of daily stretches and tests designed to increase muscle bulk. 
Manual of Quickness of Action	A typical manual of quickness of action provides the reader with a wide variety of tips and pointers regarding the motion and coordination of one's hands and feet. This small tome is much in demand by people from many walks of life, including rogues wishing to improve their slight-of-hand and paladins wanting to perfect their thrust and parry. 
Masquerade Mask	A masquerade mask crafted of leather and peacock feathers.
Masterwork Gaming Darts	With an elegant hinged case of black onyx, the characters find a set of masterwork gaming darts. Although useless for combat, the darts will give a +2 skill check bonus to anyone using them to play a game of darts (due to their superb balance and construction).
Matroshka Seeds	Within a wooden box carved with pastoral scenes lies a leather purse, and within the purse are a handful of seeds. If these seeds are planted, they will take root and grow into plants of unnatural shape, hue, and life unlike anything seen upon this world, and operating by utterly alien principles.
Medicinal Herbs	A cabinet containing 24 glass jars of various medicinal herbs
Mineral Oil	2 oz bottle of mineral oil
Moonstone	"Moonstone is an opaque, white feldspar gem polished to a bluish sheen. Old legends say that the sight of a moonstone would cause a lycanthrope to revert to his animal form. Whether or not this is true is unknown as anyone close enough to find out apparently hasn't lived to tell the tale. However moonstones have been used in spells that effect this particular curse.	"
Moonstone Sheath	A dagger sheath of bronze, set with a small moonstone.
Moradin's Magical Bestiary	A bestiary!
Onyx Gemstone	This gemstone has opaque bands of black and white across it's surface.
Orb Of Venom	Orb of venom-Applies to all of user attacks. Target takes an additional 1d4 poison damage on their next turn.
Orcish Cookbook	"This appears to be a cookbook written by an unnamed Orc. It has some insightful notes on how best to cook Owlbear and a rather unpleasant section on what spices go well with human flesh.
Potion of Healing	A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action. 
Pouch	A cloth or leather pouch that can hold up to 20 sling bullets or 50 blowgun needles, among other things. 
Pouch of Healing Potions	A large carry pouch made from the skin of a monkey. Inside are {1d6} Potions of Healing. 
Sardonyx Gemstone	Bands of white-yellow sard cross the surface of this dark onyx gemstone.
Scythe	"This weapon is inspired by the common farming implement used to cut swaths of grown hay, but it has a straight handle and a heavier blade. Despite its humble origins, the scythe is recognized as a symbol of death in many cultures because of its use in reaping.
Seimai's Guide to Healing Tonics	A relatively small compendium of information about healing tonics.
Shandon Gem	"Shandon is another name for natrolite; its slender, colorless crystals yield tiny faceted gems used often in veils and robes in order to capture the beading effect of water glistening upon the material.	"
Skydrop Gem	"Skydrop is the common name given to clear or lightly colored tektite material; fragments of glass of celestial (meteoric) origin, found in the vast shifting sands of Anauroch and other deserts.	"
Spade	"A spade is a simple tool designed for digging soil, the head can be made of any material that can hold its shape, but is most frequently made of metal to facilitate cutting into soil.
Star Diopside Gem	"Star Diopside is the most prized form of a hard, durable gemstone that is rarely found in attractive colours. It is usually too dark for beauty, however mountain and streambed-pebble crystals of a pale green hue make attractive stones such as diopside. When a gem is found that is darker green it can be cut in such a fashion so to produce four- or six-rayed stars.	"
Star Rose Quartz	This gemstone is a polished pink sphere. When viewed at a specific angle with a source of light an asterism (star-effect) is visible across it's surface. 
Sunstone Gem	"Sunstone is a feldspar jem, closely related to moonstone, and more properly known as oligoclase. Sunstone can be colorless or faintly greenish and of facet grade, but most common by far is its softer (cabochon) variety. This yields gemstones that have bright red or orange spangles (minute crystals) suspended in a nearly colorless background in a parallel fashion, giving the whole a rich golden or redish brown color.	"
Tchazar Gem	"Tchazar is the common name given to aragonite, a straw-yellow gemstone found in elongated, prism-shaped crystal form. It is soft and fragile, and requires skilled cutting to yield faceted gems..	"
The Recipes and Ruminations of One Dradeel of Tethir	The Recipes and Ruminations of One Dradeel of Tethir is a book with food recipes from Dradeel. Even a casual look will inform the reader that he was a wizard with an addled mind.
The Three Rules to Poisoncraft	This tatty old tome is missing a number of pages, leaving whatever the third rule of Poisoncraft was completely unknown. Hopefully you'll manage with the first two, unlike whomever owned this book before you.
Tobacco Cask	A small cedar cask of dwarven pipe tobacco.
Tome of Clear Thought	A typical Tome of Clear Thought contains a collection of esoteric and scholarly literature, often involving obscure mathematical or algebraic formulae or the occasional reference to inter-planar biology..
Tome of Understanding	A typical Tome of Understanding contains a sober, if dry analysis of legal battles, historic events, government policies, philosophical treatises and theories of magic and metaphysics.
Tourmaline Chain	A delicate silver chain set with a tourmaline.
Unfinished Zircon Gem	This gemstone has not yet been finished, but even in its unpolished state it's bright cyan gleam is arresting to the eye.
Unusable Scroll	A tattered, and sadly unusable, scroll fragment, inscribed with a spell unknown to any living mage.
Usk Brandy	A five gallon cask of usk brandy.
Vial of Antitoxin	A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs. 
Waterstar Gem	"Waterstar is also called achroite or colourless tourmaline and is rare in the Realms. This stone is riddled with flaws and inclusions and hence only a small portion is fit for cutting.	"
Wooden Wind Chimes	A set of wooden wind chimes which plays a different tune depending upon the direction of the wind which disturbs it.
Ziose Gemstone	"Ziose is the name given by sages to a particular facet-grade variety of ziosite; a rare mineral that yields cut stones that flash three vivid hues depending on how the light catches them; purple, blue, and red, or purple, green, and red. Very large (fist- or foot-sized) gems are found and are prized for use in pendants and brooches.	"
Zircon Gemstone	"Zircon is a brownish crystal found in igneous (volcanic) rocks. Zircon attains its pale blue shade with heating and cutting (usually facet-cut).	"
Ram's Head Mace	A silver-headed heavy mace, the head of which is shaped into the likeness of a ram's head.
Random Monster Taxidermy	Random monster taxidermy
Raven Statue	A life-size basalt statue of a raven.
Replica Castle	A 3' square replica of a castle, in wood, complete with ramparts and miniature ballistae and toy soldiers. Scribbled in some spots are notes written in draconic that suggest a plan to assault the castle ('Kill guard here first', 'Murder holes overhead', Fireball this area', etc')
Reversible Robes	Reversible, finely crafted robes
Sledge Hammer	This large sledge hammer has been cast entirely out of steel. There is a small symbol of a rat moulded into the hammer head, above Dwarvish lettering that indicates the weight.
Dagger	A simple steel dagger with an oak handle and matching leather sheath.
Greatclub	A huge wooden greatclub, made from an old oak branch that has been carved and sanded into the shape of a large nail, with the narrower end wrapped in leather as a crude handle.
Handaxe	A straight wooden handle with a basic steel axe head on one end. It has been balanced well enough to use as a throwing axe.
Javelin	A long thin shaft armed with a leaf-shaped head. It has a tassled based, to allow the javelineer to retrieve it after it has been thrown.
Light Hammer	A small sledge hammer with a haft made of wood about one and a half feet long.
Mace	This mace is essentially just a wooden shaft with a flanged iron head mounted on the end.
Spear	One of man's earliest weapons, dating back to the most primitive of times. A simple wooden pole with a steel spearhead on the end.
Primitive Hand Axe	A simple handaxe made from a smooth tree branch and a sharp piece of knapped flint. 
Woodcutter's Axe	A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.
Acid (Vial)	A round glass container filled with a clear liquid. It has a paper label indicating in common that it contains acid, and to warning not to accidentally break the glass.
Abacus	A basic wooden abacus, designed for merchants and treasurers. It comes with a simple latched case to protect the counting beads from damage. 
Light Crossbow	An ash crossbow with a wooden shaft. This crossbow has been designed for smaller, foot long bolts, and is a comfortable ranged weapon for any sized creature.
Dart	A small, easy to conceal missile weapon. They might not do a lot of damage on their own but when your opponent has three of these embedded in their face before they can get within 10 feet of you they might reconsider the fight.
Shortbow	A small bow used by travelers and adventurers alike for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance.
Sling	A basic a leather strap with a pouch for holding the missile. The weapon is held by both ends of the strap and twirled around the wielder's head. Note: Always be careful not to knock yourself out.
The Plaster Sword	The legendary sword once owned by the Goblin hero "Stink", who was also known as the "Hero of Thyme" after he slew a greedy Human merchant and stole a wagon of expensive cooking spices. The sword itself appears to be ornate and magical in nature from afar, but when handled it is clear that it is simply a clever replica made out of gypsum and mud that has been painted.
Boomerang	This throwing weapon was originally used by forest-dwelling Orcs to hunt game. Its unique shape allows it to return after being thrown.
Combat Boomerang	This combat boomering does not resembe the conventional "V" shape of a normal boomerang and instead has more of a "tick mark" shape. One end has a smaller wing which is both thicker and carefully reinforced with metal studs. It can be used as both a ranged weapon as expected, but can also be used in close quarters as a club.
Boomerang Sword	A curved sword favored by lizardmen. It can be used to attack directly or can be thrown like a boomerang.
Glaive	A three bladed disk which can either be used in melee or as a thrown weapon. The circular handle is made from dark wood and has the design of an owl's head in the middle.
Elven Sword	The ornamentation that adorns this blade is a traditional elven design. It's forged from a very durable and rust-proof metal.
Priest Skeleton	A human skeleton in rotted priest's robes wearing a ring and necklace. (Electrum ring: 4gp Silver necklace: 3gp)
Prism's Copper Goblin	A goblin skull that has been dipped in molten copper. (1gp)
Ring of the Adventurous Limb	 If worn on a hand, the entire arm will vanish.  It will return after 24 hours have elapsed.  Roll a d10: 1 - tattoo on arm, 2 - arm injured, 3 - gained a ring, probably a wedding ring, 4 - ring missing, 5-10 - nothing special.  It will have a similar effect on legs.
Royal Documents	Collection of documents with traces of royal bloodlines
Silver Hand Mirror	A silver hand mirror with mother-of-pearl backing.
Fungus Spores	
Stabby String	A popular Goblin trap; a 50 ft length of neatly coiled wire that has nails welded onto it at regular intervals. The resulting product can be used either by running it across the floor or by intertwining it along a fence or wall.
Burning Oil	
Pendulum	
A Dungeon of One's Own 	A dusty scroll which contains a political essay written by a witch called Virginia Woolfsblood. The essay delves into the systemic oppression of witches and advocates for the magical education and liberation of women in general.
Amethyst	A common, bright purple gemstone.
Sand Crown Crown	"When used (worn), this seemingly golden crown turns to sand and falls to the ground where it reforms into a crown. Any gold, silver, or copper item it is placed near will also gain this property. A coin would only turn to sand when it was being used (spent), etc
Satchel	A thick leather satchel containing an adventurer's' kit: 6 wax candles, two pieces of white chalk, two pieces of red chalk, a small bag of (100) clay marbles, a whistle, four pieces of charcoal, three large sacks, six iron pitons, a hammer, a tinderbox with flint and steel, 2 empty copper vials, a chunk of coal, and three large sheets of paper.
Satyr Pipes	Silver pan/satyr pipes/flute
Scroll Case	Nigh-indestructible scroll case ' leviathan ivory, jewel encrusted, demon paintings on side ' scraps of scroll inside
Sea Shell Coil	A 40' coil of rare sea shells strung on a silken cord
Sharkskin Armour	Studded leather armor made from sharkskin set with iron disks.
Sharpening Stone	A high quality sharpening stone
Shurikens	A leather string holding 11 silver shuriken. 
Silver Bullets	A pouch filled with 13 silver sling bullets. Each bullet is engraved with the holy symbol of Pelor.
Silver Ore	A large chunk of raw silver ore.
Silver Statuettes	A set of five small silver statuettes (each about 2' tall) consisting of a cat, an owl, a falcon, a horse and a griffon.
Six Fingered Gloves	Two six-fingered gloves, along with a matching seven-fingered glove. The set is made of supple black leather, and stitched with fine, silver thread.
Skeleton Key	A single, platinum skeleton-key on a platinum ring. The key is finely crafted, with a delicate design etched in elvish characters along the length and across the bow.
Skeleton Key Chain	Key chain with multiple types of 'skeleton keys'
Slave Order	A bearer-order allowing the possessor to take ownership of a dozen slaves from Zoealage the flesh-monger
Smoking Box	A long, narrow wooden box containing forty, ' lb rolls of quality smoking leaf.
Smoking Pipe	A six foot long smoking pipe made of ivory, possibly a narwhal horn, carved to look like a twisting serpent.
Smuggler's Boots	Smugglers boots ' great for hiding a concealed backup dagger or wand
Smuggler's Coat	A hooded cloak with a dozen inside pockets.
Snakeskin Scimitar	A scimitar with a gold and snakeskin hilt set with a citrine.
Snow Serpent Stockings	Four pairs of snow serpent fur felt stockings
Special Syrup	A two gallon stone ware jug containing hallucinogenic tree sap syrup 
Steel Spiked Gauntlets	A pair of blue enameled steel spiked gauntlets. The palms of both gauntlets are designed to display the Cambersome family crest, a stylized 'C' shaped into the likeness of a coiled serpent.
Stuffed Falcon	A stuffed falcon, tattered with age, with black onyx eyes. (Onyx value: 5gp each)
Sunrod Quiver	A short quiver holding 3 sunrods.
Tasty Cake	A well-sealed cake box with intact cake
Tattoo Kit	Ritualistic tattooing kit
Teak Mask	A cracked mask of teak wood, colored in (chipped) blue and red paint depicting the face of a fairy (4sp)
Teakwood Quarterstaff	An ornately carved quarterstaff of teakwood. The end is carved into the likeness of a dragon's head, with (painted red) flame issuing from its mouth and the butt end carved into an entwining serpent-like tail. (5gp)
The Neverburning Torch	The neverburning torch. A jet black torch, with an inscription in gold upon its side: 'Only in your hour of darkest need will I light.' All attempts ' magical or otherwise ' to light the torch will fail, but if the character carrying the torch ever finds himself upon the brink of death, the torch will flare to life.
The Scalpel	Scalpel capable of cutting any substance
The Torturer's Dagger	Found on the corpse of an enemy from the realm of chaos.
Tigerseye Ring	You find a barrel filled with broken crockery. Near the bottom is a mouse nest in which, amidst the tangled mouse fur, lays a silver ring set with a polished tigerseye.
Top Secret Battle Monkeys	Box of 'Top Secret Battle Monkeys'
Treasure Map I	Piece of Legendary weapon & map with possible locations for other pieces
Treasure Map II	A peg leg inscribed with a pirate's treasure map. The map is either false or its treasure has long since been plundered. If you wish to provide the PCs with a true map, then one may be found in the hollow compartment within the leg.
Triple Harness	A leather harness bearing three short quivers (sized for quarrels, rather than arrows). The first holds a dozen red-fletched quarrels, the second a dozen green fletched quarrels, and the third has a dozen white fletched quarrels.
Troll Horn	When blown, any trolls within a mile or so will approach the players
Troll Oboe	An oboe-like musical instrument made from a troll's femur.
Unicorn Pipes	A set of panpipes carved from the bones of a unicorn. When played, they do not make the slightest sound.
The Book of Monster Recipes	This leather-bound recipe book appears to be aimed at adventurers who aren't satified with merely fighting monsters and taking their treasure. It features a mixed selection of recipies, with side-notes on how best to prepare the remains of each creature included. "Braized Dragon Liver and Onions", "Eye of the Beholder Soup", "Rust Monster Jerky" and "Gelatinous Cube Jelly" are particular standouts.
Unspoiled Golden Apples	A bowl full of golden apples found in the midst of ruins which have long been left desolate and uninhabited. They are quite edible and unspoiled. If they are taken beyond the ruins, they will lose their golden sheen and appear ' in all respects ' as normal, red apples. So long as they remain within the ruins, however, they are golden, and will not age or rot.
Vials of Oil	Seventy-three clay vials of oil (1 pint each). 
Wand Chamber	Wand Chamber ' fashioned to look like a scroll case, it contains {1d8} slots to hold wands ' think of it as a circular bandolier for your everyday wizard
Warning Box	Box with runic markings for destroy/to be destroyed containing cursed object
Water Damaged Ledger	Water damaged ledger ' hidden location
Weapon Cabinet	A weapons cabinet, unlocked and immovable, containing: 12 score arrows (1gp/score), 40 javelins (1gp each), 120 crossbow bolts (1sp/each), and a short bow (30gp).
Whalebone Scrimshaw	An elaborate, whalebone scrimshaw carving of intertwined orbs, each showing the legend of creation story of one of the seven civilized religions, roughly 10' in diameter.
White Ivory Cane	A cane of the purest white ivory, decorated with ruins unknown to modern scholars, and topped with a handle of polished amber. Trapped within the amber is a strange creature unlike any the PCs have ever seen before.
White Marble Ball	A small ball of white marble ' roughly three inches across ' which hovers in the air until it is touched or disturbed, at which point it falls to the floor and ceases to exhibit any supernatural properties.
Wrought Iron Sign	A large, wrought-iron sign crafted to read: 'Beware of Wyvern' in a bold script.
Zombie Dust	A small, brown glass jar, sealed with wax, with a gray dust inside. A white label is affixed to the jar, and reads: 'Zombie Dust' in a shaky script. (It is zombie dust.)
Terrible Thermometer	This thermometer has a long, silver blade and a pommeled wooden handle. "Come here, monster! I just want to take your temperature!"
Double Axe	A normal hand axe, only there's two of them.
Belt of Fattening	
Morph Blade	
Lucky Coin	
Wand of Pillows	
Gravedigger	
Giggle Water	
Entangled Coins	
Ring of Fire Detection	
Drunkard's Hat	A simple straw hat.
