Oily Rags	{1d4} oily rags in an old wicker basket.
Tattered book of children�s stories
Green glass bottle filled with sand
Charcoal drawing of a cat
Wooden ring with a sun symbol carved in it
Small wooden spoon
Piece of flint
Bundle of wilted herbs
Fragment of a broken shield
Old iron buckle
Pair of tattered boots, too small for a human
Polished stone with an odd rune scratched into it
Threadbare scarf
Brass key, heavy and unmarked
A tooth on a string
Torn tapestry with a faded scene of battle
Piece of chalk
Folded piece of stained silk
Bronze token with a star shape etched in
Bundle of mismatched cutlery
Small wooden box containing bird eggshell fragments
{1d4} Lockpicks
{1d20} Almonds
{1d8} Acorns
The skeletal remains of a small unknown animal
{1d12} severed ant heads
A small bag of ants
A small container filled with a {COLOR} ash
{1d4} bolts from an Automaton
{1d4} Autumn leaves
Fishing bait
A piece of bark
A container filled with barley
{1d4} beets
{1d4} {COLOR} beetles
A cup of an unknown {COLOR} beverage	{FLAVOR} taste
A glass of an unknown {COLOR} beverage	{FLAVOR} taste
A bottle of an unknown {COLOR} beverage	{FLAVOR} taste
A jug of an unknown {COLOR} beverage	{FLAVOR} taste
A blade broken from its hilt
A block of firewood
A small branch
A bag of {COLOR} bugs
{1d4} {COLOR} buttons
{1d2} cow testicles
Some {COLOR} chalk
A jar of {BEAST} toenails
A used toothbrush
A transaction receipt
{1d6} tree saplings
A random twig
Eating utensils
A collection of butterfly wings
A {material} club
Bits of coral pieces
A cork from a bottle of {BEVERAGE}
